horizon,feature,importance_score
24h,temp_trend_96h,1033.8712437544018
24h,demand_trend_96h,1118.2239421230083
24h,temp_trend_168h,1336.2404632877801
24h,demand_trend_168h,393.0524305943315
24h,hour_sin,225.17503183885938
24h,hour_cos,265.9476834997372
24h,dow_sin,337.9665550088309
24h,dow_cos,522.775144014711
24h,month_sin,6992.534210408139
24h,month_cos,32076.63372772798
24h,season_sin_1,1648.5015614666017
24h,season_cos_1,53648.633705820204
24h,season_sin_2,603.7605956156328
24h,season_cos_2,1202.094448863731
24h,season_sin_3,0.015055187289844963
24h,season_cos_3,17.520903628334988
24h,week_sin_1,630.7437090485693
24h,week_cos_1,164.82673193437103
24h,week_sin_2,41.90645478945737
24h,week_cos_2,260.81517823991953
24h,week_sin_3,29.25205216576059
24h,week_cos_3,6.088859319217588
24h,week_sin_4,24.0954521350612
24h,week_cos_4,0.0012720925074240458
24h,is_business_day,62.12359295206778
24h,is_friday,477.1077317615117
24h,is_sunday,208.84272709258502
24h,week_of_year,2006.063718032662
24h,day_of_month,86.13240054555291
24h,is_month_start,6.769569576838299
24h,is_month_middle,7.328928178591751
24h,is_month_end,4.438463384363345
24h,temp_change_6h,495.9910761205732
24h,temp_change_24h,381.3344130684179
24h,temp_change_72h,1095.937068654321
24h,hdd_trend_72h,1138.8466616708238
24h,hdd_acceleration_72h,174.75716018325767
24h,V1_temp_trend_72h,1164.5662386131378
24h,V1_temp_volatility_72h,20489.747358146677
24h,V1_temp_momentum_48h,946.4418093788539
24h,N1_temp_trend_72h,1164.5662386322351
24h,N1_temp_volatility_72h,20489.747358475448
24h,N1_temp_momentum_48h,946.441809525282
24h,B1_B2_temp_trend_72h,1164.566238623196
24h,B1_B2_temp_volatility_72h,20489.747364355084
24h,B1_B2_temp_momentum_48h,946.4418094063699
24h,W1_temp_trend_72h,1164.566238613137
24h,W1_temp_volatility_72h,20489.747358146713
24h,W1_temp_momentum_48h,946.4418093788539
24h,F1_Sud_temp_trend_72h,1164.566238623196
24h,F1_Sud_temp_volatility_72h,20489.747364355084
24h,F1_Sud_temp_momentum_48h,946.4418094063699
24h,temp_hdd_interaction,1633.3322951534362
24h,weekend_seasonal,418.62312383475785
24h,month_dow_interaction,56.7637860220979
24h,temp_seasonal_interaction,14324.004990511841
24h,demand_volatility_24h,20283.282986108516
24h,temp_volatility_24h,10435.986056494277
24h,demand_volatility_72h,21129.190185176816
24h,temp_volatility_72h,9829.108604331239
24h,demand_volatility_168h,29767.90449227939
24h,temp_volatility_168h,7049.0080845312905
48h,app_temp,60058.12208511319
48h,azimuth,29.363524609699343
48h,clouds,783.8834934267051
48h,dewpt,37294.526959516494
48h,dhi,4523.779843398649
48h,dni,4107.780930797455
48h,elev_angle,6873.04242952364
48h,ghi,5874.4630222794185
48h,precip,25.04344462654149
48h,pres,183.7065062558528
48h,rh,6092.618620329254
48h,slp,650.8834906791953
48h,snow,243.382697853185
48h,solar_rad,4470.468188576601
48h,temp,53863.38654115957
48h,uv,5495.711464373036
48h,vis,71.56592069823228
48h,wind_dir,28.560341975187562
48h,wind_gust_spd,114.66642311362588
48h,wind_spd,615.2053740147146
48h,month,1760.337597718805
48h,year,102.07393656629422
48h,hour,10.471984464413508
48h,day_of_week,0.38533078063646287
48h,season,14727.73981551033
48h,B1_B2_expected_supply_temp,46019.725292415234
48h,B1_B2_expected_return_temp,0.0
48h,B1_B2_expected_delta_T,46019.7252907956
48h,F1_Nord_expected_supply_temp,46019.7253015991
48h,F1_Nord_expected_return_temp,0.0
48h,F1_Nord_expected_delta_T,46019.725301660466
48h,F1_Sud_expected_supply_temp,46019.725292415234
48h,F1_Sud_expected_return_temp,0.0
48h,F1_Sud_expected_delta_T,46019.72529079579
48h,Maintal_expected_supply_temp,0.0
48h,Maintal_expected_return_temp,0.0
48h,Maintal_expected_delta_T,0.0
48h,N1_expected_supply_temp,46019.72530715541
48h,N1_expected_return_temp,0.0
48h,N1_expected_delta_T,46019.725307072316
48h,N2_expected_supply_temp,46019.72530815905
48h,N2_expected_return_temp,0.0
48h,N2_expected_delta_T,46019.7253087283
48h,V1_expected_supply_temp,46019.7253015991
48h,V1_expected_return_temp,0.0
48h,V1_expected_delta_T,46019.725301660466
48h,V2_expected_supply_temp,46019.725270915485
48h,V2_expected_return_temp,0.0
